case_id,municipality,case_hybrid_score,case_hybrid_raw,n_events_case,event_score_mean,event_score_median,avg_resource_score_in_case
10500140,BPIC15_1,0.831,0.8243100335914746,50,0.768,0.791,0.649
10501237,BPIC15_1,0.865,0.8564871322897115,57,0.753,0.78,0.892
10513698,BPIC15_4,0.42,0.434794645347275,42,0.701,0.718,0.129
10517826,BPIC15_4,0.422,0.4370570165663654,42,0.71,0.732,0.129
10519972,BPIC15_5,0.393,0.4091340978268342,75,0.642,0.667,0.045
10526343,BPIC15_4,0.429,0.4435388142285313,57,0.642,0.666,0.469
10550640,BPIC15_1,0.881,0.8717434885540084,44,0.778,0.801,0.892
10550720,BPIC15_4,0.839,0.8325741802874131,42,0.73,0.748,0.469
10551774,BPIC15_4,0.895,0.8855238127575787,35,0.853,0.869,0.939
10554693,BPIC15_4,0.824,0.8181012798196774,42,0.799,0.816,0.129
10562477,BPIC15_4,0.823,0.8174879438240908,42,0.76,0.774,0.129
10564434,BPIC15_4,0.427,0.4415230568532493,54,0.639,0.651,0.469
10571906,BPIC15_4,0.829,0.8223702966302359,42,0.8,0.823,0.129
10585504,BPIC15_4,0.894,0.8842958899572717,29,0.822,0.851,0.939
10588329,BPIC15_4,0.83,0.8240665146335102,55,0.701,0.72,0.469
10598388,BPIC15_4,0.822,0.8162369174730111,42,0.763,0.78,0.129
10621240,BPIC15_1,0.849,0.8419037847986661,47,0.757,0.778,0.649
10629651,BPIC15_4,0.847,0.839806363172849,42,0.795,0.817,0.469
10632542,BPIC15_4,0.415,0.4296315561088552,54,0.67,0.68,0.129
10639563,BPIC15_4,0.837,0.8302224682054317,20,0.855,0.892,0.129
10640674,BPIC15_4,0.855,0.8476956306946047,20,0.85,0.888,0.469
10652795,BPIC15_4,0.444,0.4571003945533878,42,0.719,0.734,0.469
10653756,BPIC15_4,0.839,0.8327585971603991,13,0.893,0.91,0.129
10658243,BPIC15_1,0.455,0.4684046406416475,3,0.892,0.92,0.215
10659380,BPIC15_1,0.87,0.8612844996818716,55,0.713,0.729,0.892
10667709,BPIC15_1,0.827,0.8206742555564327,47,0.8,0.809,0.215
10675546,BPIC15_4,0.411,0.4257825776025277,53,0.659,0.68,0.129
10680390,BPIC15_1,0.517,0.526593158647693,19,0.735,0.745,0.972
10694893,BPIC15_4,0.902,0.89213207769317,27,0.856,0.886,0.939
10697381,BPIC15_4,0.835,0.8282507678285534,15,0.86,0.875,0.129
10704982,BPIC15_4,0.841,0.8343517860782332,42,0.756,0.769,0.469
10707468,BPIC15_4,0.417,0.4323963506683373,41,0.678,0.695,0.129
10708347,BPIC15_5,0.385,0.401251080224954,74,0.649,0.655,0.045
10722198,BPIC15_5,0.834,0.8275852386249725,59,0.757,0.768,0.413
10730107,BPIC15_1,0.466,0.478837674355877,72,0.671,0.68,0.892
10730130,BPIC15_5,0.807,0.8019008924220722,51,0.735,0.747,0.045
10732270,BPIC15_4,0.419,0.4342020180631065,42,0.695,0.712,0.129
10734436,BPIC15_5,0.895,0.8853695953642732,47,0.829,0.843,0.921
10735200,BPIC15_4,0.816,0.8101440212349749,42,0.736,0.752,0.129
10738509,BPIC15_5,0.491,0.5020977493657387,20,0.873,0.898,0.949
10748902,BPIC15_4,0.828,0.8222789870056826,41,0.803,0.82,0.129
10757934,BPIC15_4,0.834,0.8275282471060817,20,0.852,0.89,0.129
10757942,BPIC15_4,0.903,0.8931537471324044,23,0.871,0.889,0.939
10765002,BPIC15_4,0.824,0.8178653085189673,42,0.76,0.779,0.129
10767150,BPIC15_4,0.831,0.8243338051435666,13,0.859,0.884,0.129
10774676,BPIC15_4,0.821,0.8148715612417453,42,0.779,0.797,0.129
10780512,BPIC15_4,0.816,0.8105074218949084,48,0.74,0.746,0.129
10790056,BPIC15_1,0.883,0.8744894741624917,44,0.81,0.828,0.892
10797748,BPIC15_4,0.831,0.8244510827858811,19,0.842,0.89,0.129
10810588,BPIC15_4,0.406,0.4211210157386536,67,0.621,0.64,0.129
10820814,BPIC15_4,0.825,0.8188252936592957,42,0.788,0.805,0.129
10837834,BPIC15_5,0.837,0.8307474444590591,59,0.767,0.784,0.413
10846680,BPIC15_1,0.853,0.8459521741840456,44,0.802,0.819,0.649
10851681,BPIC15_4,0.849,0.8417383131497599,43,0.806,0.819,0.469
10852936,BPIC15_4,0.854,0.8461647419999255,28,0.856,0.876,0.469
10853308,BPIC15_1,0.843,0.8359707911301345,30,0.854,0.874,0.215
10864106,BPIC15_5,0.41,0.4255310945934961,50,0.71,0.722,0.045
10864206,BPIC15_4,0.832,0.8257208853238639,25,0.85,0.854,0.129
10866068,BPIC15_4,0.815,0.8096072981074881,42,0.729,0.746,0.129
10881184,BPIC15_1,0.844,0.836803561352806,32,0.862,0.882,0.215
10882759,BPIC15_1,0.91,0.8999126820169654,26,0.806,0.83,0.98
10883603,BPIC15_1,0.467,0.4795634500153165,55,0.669,0.684,0.892
10885876,BPIC15_1,0.872,0.863919274756379,55,0.759,0.777,0.892
10887197,BPIC15_4,0.828,0.8218111085814894,29,0.838,0.852,0.129
10894996,BPIC15_4,0.439,0.4532482280770678,42,0.681,0.713,0.469
10896897,BPIC15_1,0.839,0.8320822858079996,57,0.726,0.746,0.649
10899058,BPIC15_5,0.84,0.8335375922256221,59,0.786,0.808,0.413
10903576,BPIC15_4,0.838,0.8311921017278114,27,0.751,0.788,0.469
10908312,BPIC15_4,0.834,0.8277550931277681,19,0.845,0.893,0.129
10911419,BPIC15_4,0.825,0.8188629570702214,22,0.77,0.81,0.129
10911493,BPIC15_4,0.423,0.4372881537468892,42,0.716,0.736,0.129
10913081,BPIC15_4,0.92,0.909161261111256,42,0.853,0.871,0.97
10914823,BPIC15_1,0.928,0.917180773913164,13,0.906,0.924,0.965
10918910,BPIC15_1,0.874,0.8652533925316763,44,0.768,0.778,0.892
10922285,BPIC15_1,0.441,0.4542562188626186,60,0.69,0.713,0.649
10926824,BPIC15_4,0.851,0.8438442286334672,19,0.842,0.862,0.469
10928665,BPIC15_5,0.408,0.4231603121298187,94,0.606,0.614,0.413
10931992,BPIC15_4,0.843,0.8361523591714566,44,0.748,0.77,0.469
10935283,BPIC15_4,0.84,0.8330649973265909,19,0.873,0.905,0.129
10935882,BPIC15_4,0.83,0.8239385822407271,26,0.852,0.858,0.129
10936660,BPIC15_4,0.821,0.815379793572835,18,0.745,0.774,0.129
10938606,BPIC15_4,0.848,0.8411566262899275,26,0.84,0.854,0.469
10948952,BPIC15_1,0.87,0.8619868102610897,54,0.744,0.752,0.892
10950052,BPIC15_1,0.888,0.8785185585694346,44,0.819,0.831,0.892
10959110,BPIC15_1,0.444,0.45768338640332,46,0.693,0.716,0.649
10964461,BPIC15_1,0.914,0.9035820584160322,36,0.817,0.833,0.965
10964933,BPIC15_4,0.42,0.4344727326499486,42,0.7,0.726,0.129
10965843,BPIC15_1,0.867,0.85910832365328,55,0.723,0.739,0.892
10980106,BPIC15_5,0.916,0.905683507638863,12,0.925,0.932,0.949
10987431,BPIC15_1,0.472,0.4844127840360479,55,0.689,0.714,0.892
10987471,BPIC15_5,0.401,0.4166732359082775,63,0.66,0.671,0.045
10996209,BPIC15_1,0.884,0.8747796185067755,43,0.818,0.83,0.892
10996807,BPIC15_5,0.472,0.4842523456717328,75,0.63,0.645,0.949
10998072,BPIC15_1,0.879,0.8698093950913028,40,0.77,0.786,0.892
11004839,BPIC15_4,0.837,0.8306657980811054,53,0.744,0.762,0.469
11024945,BPIC15_5,0.812,0.8071366182480653,50,0.784,0.795,0.045
11032039,BPIC15_1,0.823,0.8175764296257947,54,0.763,0.786,0.215
11032871,BPIC15_1,0.828,0.8220501750819524,52,0.776,0.8,0.215
11041423,BPIC15_4,0.904,0.8943564261937332,42,0.827,0.835,0.939
11041449,BPIC15_4,0.85,0.8424059428049502,28,0.83,0.845,0.469
11044631,BPIC15_1,0.415,0.4297061003815401,54,0.653,0.684,0.215
11052564,BPIC15_5,0.875,0.8664233341354156,47,0.783,0.793,0.825
11053351,BPIC15_5,0.431,0.4454809364593938,103,0.586,0.597,0.825
11060714,BPIC15_4,0.839,0.831998081423102,17,0.883,0.894,0.129
11070999,BPIC15_5,0.963,0.9495378088404488,50,0.819,0.827,0.999
11075685,BPIC15_4,0.833,0.8270292888460773,16,0.873,0.9,0.129
11075839,BPIC15_4,0.824,0.8179626211395221,42,0.761,0.776,0.129
11080907,BPIC15_1,0.442,0.4554698162628854,57,0.707,0.731,0.649
11090632,BPIC15_1,0.449,0.4625869823648151,44,0.721,0.748,0.649
11092974,BPIC15_1,0.829,0.8223696383082619,53,0.771,0.798,0.215
11119500,BPIC15_5,0.414,0.4286318384917272,74,0.649,0.663,0.413
11157992,BPIC15_1,0.478,0.4895503548155501,46,0.709,0.724,0.892
11164529,BPIC15_4,0.828,0.8214521961061295,28,0.831,0.844,0.129
11168158,BPIC15_5,0.481,0.4924465298494301,56,0.701,0.728,0.921
11177792,BPIC15_1,0.468,0.4801035960497191,60,0.677,0.704,0.892
11180791,BPIC15_1,0.872,0.8635074751150758,55,0.754,0.778,0.892
11181581,BPIC15_4,0.84,0.8331045885412226,13,0.894,0.909,0.129
11194966,BPIC15_4,0.822,0.8165620917541343,28,0.776,0.79,0.129
11195562,BPIC15_4,0.826,0.8197032929319513,42,0.791,0.816,0.129
11203658,BPIC15_4,0.843,0.8357994710129003,42,0.776,0.795,0.469
11204590,BPIC15_1,0.878,0.8694517273284809,46,0.759,0.774,0.892
11206183,BPIC15_4,0.825,0.8189979490458679,42,0.779,0.804,0.129
11206923,BPIC15_1,0.479,0.4903091726640654,43,0.713,0.73,0.892
11208545,BPIC15_5,0.81,0.8045440777630095,49,0.791,0.809,0.045
11210892,BPIC15_5,0.828,0.8217657247083014,69,0.739,0.744,0.413
11211232,BPIC15_1,0.486,0.4970583952669923,81,0.6,0.611,0.972
11212108,BPIC15_5,0.39,0.4061671609483591,45,0.765,0.791,0.045
11213853,BPIC15_5,0.812,0.8066956808056427,48,0.774,0.788,0.045
11215171,BPIC15_1,0.856,0.8484235493673148,47,0.823,0.836,0.649
11215557,BPIC15_5,0.878,0.8691555518697557,46,0.792,0.808,0.825
11216148,BPIC15_1,0.843,0.83644645919485,21,0.816,0.866,0.215
11216395,BPIC15_5,0.827,0.8212876235435687,56,0.722,0.734,0.413
11218256,BPIC15_1,0.867,0.858617440882742,59,0.712,0.74,0.892
11221210,BPIC15_4,0.828,0.8222437161922961,42,0.802,0.826,0.129
11229243,BPIC15_4,0.826,0.8195347007924568,28,0.806,0.818,0.129
11235639,BPIC15_5,0.81,0.804653556095823,57,0.801,0.816,0.045
11238009,BPIC15_5,0.808,0.8032398868124223,50,0.774,0.789,0.045
11238110,BPIC15_5,0.812,0.807027495353707,48,0.79,0.806,0.045
11248238,BPIC15_5,0.872,0.8640481856593526,48,0.753,0.766,0.825
11248634,BPIC15_1,0.835,0.8286953486713513,35,0.834,0.855,0.215
11251027,BPIC15_5,0.877,0.867988365550456,67,0.725,0.741,0.921
11276486,BPIC15_1,0.853,0.8451795937577097,14,0.913,0.936,0.215
11288774,BPIC15_1,0.886,0.8768908648291793,46,0.816,0.832,0.892
11290777,BPIC15_5,0.89,0.8804347951418988,43,0.821,0.836,0.921
11293939,BPIC15_5,0.398,0.4143270331611566,80,0.601,0.619,0.413
11297439,BPIC15_5,0.483,0.4943014554342423,67,0.705,0.714,0.921
11303412,BPIC15_4,0.838,0.8311169379535343,13,0.863,0.875,0.129
11309205,BPIC15_5,0.421,0.4361569344731539,69,0.651,0.664,0.413
11315883,BPIC15_1,0.842,0.8352254913307205,62,0.727,0.743,0.649
11318964,BPIC15_1,0.442,0.4558591742418442,61,0.68,0.707,0.649
11320262,BPIC15_1,0.856,0.8485487218387231,49,0.828,0.853,0.649
11330151,BPIC15_4,0.842,0.8355437075681589,32,0.779,0.798,0.469
11330878,BPIC15_4,0.84,0.8333390359076602,15,0.891,0.902,0.129
11332529,BPIC15_1,0.855,0.8474932085810878,47,0.814,0.833,0.649
11332869,BPIC15_4,0.839,0.8325722327586189,13,0.893,0.911,0.129
11334009,BPIC15_4,0.421,0.4355219808550352,42,0.69,0.716,0.129
11337194,BPIC15_5,0.876,0.8675971448671883,44,0.784,0.794,0.825
11342897,BPIC15_4,0.847,0.8401112818564618,19,0.773,0.809,0.469
11344836,BPIC15_5,0.82,0.8145825413453226,26,0.841,0.855,0.045
11354921,BPIC15_5,0.788,0.7843576140967001,57,0.709,0.733,0.045
11364561,BPIC15_5,0.488,0.4993479996132774,69,0.751,0.768,0.921
11369762,BPIC15_5,0.885,0.875747491866762,67,0.758,0.777,0.921
11370493,BPIC15_5,0.472,0.4838018301213749,87,0.655,0.664,0.921
11372615,BPIC15_5,0.476,0.4881008279549141,69,0.667,0.684,0.921
11380357,BPIC15_4,0.839,0.8325949637695689,13,0.894,0.91,0.129
11382558,BPIC15_5,0.848,0.841275169978395,34,0.84,0.846,0.413
11409092,BPIC15_5,0.819,0.8130294248040119,34,0.828,0.838,0.045
11412664,BPIC15_5,0.427,0.4416328886019917,65,0.661,0.671,0.413
11417542,BPIC15_4,0.856,0.8485777610062937,19,0.869,0.889,0.469
11425185,BPIC15_5,0.422,0.4364482834068154,68,0.645,0.656,0.413
11434339,BPIC15_4,0.859,0.8509350971820463,13,0.889,0.904,0.469
11436634,BPIC15_5,0.814,0.8082685969376088,49,0.79,0.806,0.045
11442858,BPIC15_4,0.849,0.8418076781884776,31,0.819,0.836,0.469
11466473,BPIC15_4,0.444,0.4577280901081324,9,0.881,0.917,0.129
11467444,BPIC15_4,0.446,0.4590945757991969,1,0.901,0.901,0.129
11468453,BPIC15_4,0.843,0.835826500502899,13,0.913,0.919,0.129
11477783,BPIC15_4,0.465,0.4772125867166759,8,0.91,0.931,0.469
11485699,BPIC15_1,0.835,0.8286947665367967,49,0.8,0.825,0.215
11485708,BPIC15_5,0.83,0.8234918503737321,56,0.734,0.754,0.413
11490643,BPIC15_4,0.84,0.8330741728048331,13,0.893,0.911,0.129
11510282,BPIC15_1,0.932,0.9205006784008758,21,0.873,0.908,0.98
11514533,BPIC15_1,0.878,0.8690260525596987,44,0.767,0.788,0.892
11516818,BPIC15_5,0.884,0.875123508144615,54,0.753,0.76,0.921
11520512,BPIC15_5,0.465,0.4770447147962281,84,0.669,0.683,0.825
11544748,BPIC15_5,0.783,0.7794897138598942,74,0.659,0.67,0.045
11547713,BPIC15_5,0.411,0.426025238991459,52,0.713,0.728,0.045
11550167,BPIC15_5,0.365,0.3829042751959201,154,0.549,0.565,0.045
11555638,BPIC15_5,0.397,0.4132491534226379,62,0.669,0.688,0.045
11563841,BPIC15_1,0.853,0.8453740961136329,13,0.913,0.928,0.215
11579253,BPIC15_1,0.479,0.4906799325815738,46,0.722,0.744,0.892
11585375,BPIC15_1,0.867,0.8590675470978626,65,0.726,0.749,0.892
11585521,BPIC15_5,0.488,0.499092728719533,54,0.735,0.754,0.921
11588246,BPIC15_1,0.879,0.8702208241368623,47,0.768,0.79,0.892
11589046,BPIC15_1,0.886,0.877080055414441,44,0.827,0.839,0.892
11590763,BPIC15_5,0.396,0.4115859993153324,54,0.676,0.694,0.045
11590880,BPIC15_1,0.886,0.8768262978710212,40,0.817,0.828,0.892
11593519,BPIC15_1,0.479,0.4909743429879626,46,0.698,0.712,0.892
11622480,BPIC15_5,0.38,0.3969460076673941,70,0.621,0.63,0.045
11623670,BPIC15_5,0.886,0.8771333474464931,39,0.826,0.843,0.949
11625617,BPIC15_5,0.785,0.7806597833205229,57,0.711,0.73,0.045
11663975,BPIC15_1,0.848,0.8408780084106119,18,0.876,0.918,0.215
11666578,BPIC15_2,0.432,0.4464121746571648,60,0.662,0.653,0.757
11671975,BPIC15_5,0.912,0.9018328665045668,35,0.868,0.883,0.949
11672847,BPIC15_1,0.863,0.8551826573239606,68,0.695,0.714,0.892
11692969,BPIC15_5,0.466,0.4787544369230548,43,0.697,0.698,0.825
11693758,BPIC15_5,0.471,0.4835053616664672,67,0.647,0.659,0.921
11717358,BPIC15_1,0.853,0.8457050637806584,47,0.79,0.81,0.649
11718797,BPIC15_5,0.422,0.4367435632440427,69,0.647,0.657,0.413
11728349,BPIC15_5,0.47,0.4820708213899733,48,0.688,0.706,0.825
11740950,BPIC15_5,0.806,0.8009339738047068,48,0.752,0.771,0.045
11761793,BPIC15_5,0.418,0.433066248670412,56,0.669,0.676,0.413
11763696,BPIC15_5,0.428,0.4420465788322358,10,0.86,0.866,0.045
11764592,BPIC15_5,0.401,0.4168457769438775,48,0.694,0.712,0.045
11769178,BPIC15_5,0.469,0.4817391661191547,81,0.676,0.686,0.921
11771811,BPIC15_5,0.812,0.806437897897652,48,0.794,0.8,0.045
11773492,BPIC15_1,0.456,0.4690324806285458,44,0.745,0.77,0.649
11776310,BPIC15_1,0.869,0.8609981016221957,17,0.889,0.913,0.649
11790863,BPIC15_5,0.818,0.8121541140545975,39,0.821,0.83,0.045
11796536,BPIC15_5,0.878,0.8695609839691322,44,0.8,0.812,0.825
11800518,BPIC15_1,0.476,0.4877353653003823,44,0.685,0.71,0.892
11838432,BPIC15_5,0.8,0.7954779320274658,61,0.729,0.745,0.045
11883459,BPIC15_5,0.806,0.8009408072220601,48,0.734,0.748,0.045
11905158,BPIC15_1,0.883,0.873575783491819,49,0.796,0.817,0.892
11908901,BPIC15_1,0.47,0.4824912875532104,59,0.659,0.674,0.892
11944113,BPIC15_1,0.882,0.8726105746443298,47,0.787,0.805,0.892
11952350,BPIC15_5,0.487,0.4985563623149341,69,0.745,0.76,0.921
11955621,BPIC15_5,0.792,0.7873044255797059,63,0.685,0.704,0.045
11957799,BPIC15_5,0.428,0.4419088158134758,67,0.718,0.737,0.413
11958749,BPIC15_5,0.396,0.4122612935850731,43,0.643,0.658,0.045
11986570,BPIC15_1,0.431,0.4452954892236008,48,0.735,0.75,0.215
12002717,BPIC15_1,0.886,0.8771886058823001,36,0.831,0.843,0.892
12005042,BPIC15_1,0.883,0.8737347999715837,47,0.788,0.807,0.892
12009243,BPIC15_1,0.476,0.4878364959182931,47,0.698,0.72,0.892
12027017,BPIC15_1,0.89,0.8805596122349089,47,0.852,0.876,0.892
12030213,BPIC15_5,0.799,0.7944336744475055,43,0.72,0.737,0.045
12031806,BPIC15_5,0.812,0.8068603869706255,48,0.786,0.803,0.045
12033154,BPIC15_5,0.474,0.4864687836604374,80,0.667,0.677,0.921
12035087,BPIC15_1,0.476,0.4877701848364384,66,0.702,0.724,0.892
12057660,BPIC15_5,0.812,0.8062230154070028,48,0.781,0.798,0.045
12062422,BPIC15_5,0.814,0.808515057277194,48,0.787,0.799,0.045
12064182,BPIC15_5,0.902,0.8923501903864598,25,0.861,0.887,0.949
12092469,BPIC15_1,0.929,0.9180299915067424,17,0.897,0.91,0.965
12095670,BPIC15_1,0.92,0.9090380460958328,25,0.838,0.871,0.98
12096555,BPIC15_1,0.852,0.844439688839677,13,0.913,0.93,0.215
12105877,BPIC15_5,0.811,0.8061993236892565,50,0.78,0.798,0.045
12113617,BPIC15_1,0.876,0.8670629752895967,46,0.743,0.758,0.892
12115434,BPIC15_1,0.875,0.8664285190345759,45,0.743,0.772,0.892
12135943,BPIC15_5,0.466,0.4788283769275957,101,0.611,0.62,0.921
12148183,BPIC15_5,0.813,0.8076714936252017,48,0.791,0.804,0.045
12149040,BPIC15_5,0.813,0.808012318257074,48,0.783,0.803,0.045
12152305,BPIC15_5,0.876,0.8677095220790815,43,0.803,0.82,0.825
12153536,BPIC15_5,0.877,0.8679128916564534,46,0.778,0.794,0.825
12181438,BPIC15_1,0.876,0.8669413293275141,47,0.741,0.764,0.892
12189231,BPIC15_1,0.853,0.8453755293421835,13,0.913,0.925,0.215
12193737,BPIC15_5,0.802,0.796928399913308,52,0.722,0.736,0.045
12227335,BPIC15_5,0.405,0.4208308912679642,48,0.698,0.712,0.045
12228771,BPIC15_5,0.807,0.8023729996366893,48,0.768,0.778,0.045
12229496,BPIC15_5,0.808,0.8027841986516888,74,0.79,0.8,0.045
12230542,BPIC15_5,0.875,0.8666749640066133,50,0.758,0.776,0.825
12232106,BPIC15_5,0.816,0.8102983282814017,48,0.806,0.818,0.045
12239409,BPIC15_1,0.933,0.9215586106114624,13,0.902,0.923,0.972
12260058,BPIC15_5,0.875,0.8662882498680411,44,0.747,0.758,0.825
12262928,BPIC15_5,0.881,0.8716866894369694,44,0.798,0.81,0.825
12306351,BPIC15_5,0.87,0.8616443523616906,44,0.736,0.753,0.825
12351978,BPIC15_1,0.918,0.907592786964823,25,0.846,0.861,0.972
12375177,BPIC15_5,0.882,0.8727680577112953,44,0.81,0.828,0.825
12391180,BPIC15_5,0.909,0.8988810662079221,20,0.908,0.927,0.921
12391961,BPIC15_5,0.476,0.4876279060468709,86,0.675,0.684,0.921
12454586,BPIC15_5,0.805,0.799738403705427,37,0.807,0.835,0.045
12464456,BPIC15_1,0.918,0.9074674516403486,15,0.877,0.904,0.965
12467304,BPIC15_1,0.928,0.9168154572214606,21,0.87,0.905,0.98
12492057,BPIC15_1,0.513,0.5227210979094825,68,0.776,0.784,0.965
12516805,BPIC15_1,0.916,0.9057137229771453,14,0.86,0.89,0.965
12518260,BPIC15_1,0.478,0.4895625755257511,42,0.71,0.732,0.892
12529013,BPIC15_5,0.801,0.7959485084534121,58,0.73,0.749,0.045
12536339,BPIC15_1,0.884,0.8750366175250068,44,0.792,0.817,0.892
12539945,BPIC15_1,0.48,0.4916241753998636,46,0.725,0.734,0.892
12541228,BPIC15_5,0.477,0.4890978014646725,46,0.72,0.738,0.825
12544157,BPIC15_5,0.851,0.8436417165823248,14,0.877,0.899,0.413
12545301,BPIC15_1,0.925,0.9141504648797047,23,0.876,0.892,0.972
12551070,BPIC15_1,0.887,0.8774252238808039,40,0.829,0.858,0.892
12555928,BPIC15_5,0.811,0.8055698240344212,73,0.792,0.809,0.045
12566447,BPIC15_1,0.472,0.4838557078470307,59,0.685,0.695,0.892
12589769,BPIC15_1,0.468,0.4806400163343192,59,0.659,0.678,0.892
12592500,BPIC15_1,0.923,0.912118621913396,23,0.862,0.903,0.965
12593630,BPIC15_1,0.912,0.9017269902837308,44,0.796,0.81,0.96
12594402,BPIC15_1,0.912,0.9014250281903908,44,0.796,0.809,0.96
12595217,BPIC15_1,0.912,0.9013414341645508,44,0.796,0.806,0.96
12599420,BPIC15_5,0.887,0.878004468593975,39,0.838,0.848,0.825
12601705,BPIC15_5,0.804,0.7994889485320634,51,0.728,0.745,0.045
12606445,BPIC15_2,0.45,0.4632434331795277,43,0.678,0.67,0.714
12616015,BPIC15_1,0.914,0.9030906429996792,42,0.804,0.815,0.96
12626183,BPIC15_1,0.926,0.9148753033440664,19,0.883,0.911,0.972
12626453,BPIC15_1,0.928,0.9170806551492194,23,0.867,0.895,0.98
12639152,BPIC15_1,0.884,0.875080446898594,44,0.802,0.816,0.892
